Symbol,Company,Price,change,Percent Change,Market Cap
PDFS,"PDF Solutions, Inc.",15.20,-0.08,-0.52%,"66,501"
ITRN,Ituran Location and Control Ltd.,23.32,-0.43,-1.81%,"39,658"
PAR,PAR Technology Corporation,30.00,-0.38,-1.25%,"120,402"
GILT,Gilat Satellite Networks Ltd.,8.36,+0.06,+0.72%,"12,295"
HCKT,"The Hackett Group, Inc.",15.26,-0.02,-0.13%,"86,438"
VPG,"Vishay Precision Group, Inc.",33.16,-0.12,-0.36%,"57,534"
WEI,Weidai Ltd.,6.10,-0.30,-4.69%,"27,685"
ADTN,"ADTRAN, Inc.",8.80,+0.15,+1.73%,"150,770"
CALX,"Calix, Inc.",7.58,+0.03,+0.40%,"178,952"
MX,MagnaChip Semiconductor Corporation,11.90,+0.26,+2.23%,"281,825"
ZIXI,Zix Corporation,7.34,+0.03,+0.41%,"153,462"
INSG,Inseego Corp.,5.05,+0.08,+1.61%,"797,608"
DMRC,Digimarc Corporation,31.97,-0.34,-1.05%,"73,766"
NPTN,NeoPhotonics Corporation,8.11,-0.08,-0.98%,"435,492"
TLRA,"Telaria, Inc.",8.22,+0.10,+1.23%,"644,818"
CTK,CooTek (Cayman) Inc.,5.65,+0.15,+2.73%,"65,156"
CAMP,CalAmp Corp.,10.40,+0.11,+1.07%,"118,462"
RST,Rosetta Stone Inc.,14.70,+0.15,+1.03%,"216,210"
BCOV,Brightcove Inc.,8.96,-0.03,-0.33%,"200,530"
SWIR,"Sierra Wireless, Inc.",8.91,+0.30,+3.48%,"527,707"
DSPG,"DSP Group, Inc.",13.92,-0.09,-0.64%,"56,034"
DAKT,"Daktronics, Inc.",6.73,+0.02,+0.30%,"44,533"
ALLT,Allot Ltd.,8.53,-0.05,-0.58%,"23,068"
AOSL,Alpha and Omega Semiconductor Limited,11.58,+0.23,+2.03%,"51,981"
MIXT,MiX Telematics Limited,12.12,+0.13,+1.08%,"65,848"
HBB,Hamilton Beach Brands Holding Company,19.66,+0.36,+1.87%,"22,387"
TNAV,"Telenav, Inc.",5.44,+0.07,+1.30%,"522,876"
ECOM,ChannelAdvisor Corporation,9.00,0.00,0.00%,"228,415"
SILC,Silicom Ltd.,32.55,+0.82,+2.58%,"21,707"
IMMR,Immersion Corporation,7.07,-0.01,-0.14%,"161,403"
KVHI,"KVH Industries, Inc.",11.00,+0.04,+0.36%,"39,656"
BELFB,Bel Fuse Inc.,15.85,-0.37,-2.28%,"26,974"
BELFA,Bel Fuse Inc.,12.85,-0.70,-5.17%,595
GSIT,"GSI Technology, Inc.",7.30,-0.02,-0.34%,"20,989"
PCTI,"PCTEL, Inc.",8.55,-0.05,-0.58%,"87,599"
LYTS,LSI Industries Inc.,5.32,-0.04,-0.75%,"16,013"
TESS,TESSCO Technologies Incorporated,11.47,-0.27,-2.30%,"75,751"
CTG,"Computer Task Group, Incorporated",5.67,+0.09,+1.61%,"20,630"
ASYS,"Amtech Systems, Inc.",5.75,+0.04,+0.70%,"31,650"
AVNW,"Aviat Networks, Inc.",14.00,+0.04,+0.29%,"35,899"
RELL,"Richardson Electronics, Ltd.",5.54,-0.06,-1.07%,"9,496"
MINDP,"Mitcham Industries, Inc.",23.99,-0.41,-1.68%,921
AVGOP,Broadcom Inc.,"1,154.06",-1.81,-0.16%,"3,916"
